ticker,name,sector,form,filing_date,accession,source_url,local_path,status
BRK.B,Berkshire Hathaway (Class B),Financials,8-K,2026-04-16,0001193125-26-159326,https://www.sec.gov/Archives/edgar/data/1067983/000119312526159326/d903301d8k.htm,sp100_dataset/BRK.B/8-K_2026-04-16.txt,cached
BRK.B,Berkshire Hathaway (Class B),Financials,DEF 14A,2026-03-13,0001193125-26-106253,https://www.sec.gov/Archives/edgar/data/1067983/000119312526106253/d882687ddef14a.htm,sp100_dataset/BRK.B/DEF14A_2026-03-13.txt,cached
BRK.B,Berkshire Hathaway (Class B),Financials,10-K,2026-03-02,0001193125-26-083899,https://www.sec.gov/Archives/edgar/data/1067983/000119312526083899/brka-20251231.htm,sp100_dataset/BRK.B/10-K_2026-03-02.txt,cached
C,Citigroup,Financials,8-K,2026-07-14,0001104659-26-083383,https://www.sec.gov/Archives/edgar/data/831001/000110465926083383/c-20260714x8k.htm,sp100_dataset/C/8-K_2026-07-14.txt,cached
C,Citigroup,Financials,8-K,2026-05-21,0001104659-26-065155,https://www.sec.gov/Archives/edgar/data/831001/000110465926065155/c-20260520x8k.htm,sp100_dataset/C/8-K_2026-05-21.txt,cached
C,Citigroup,Financials,DEF 14A,2026-04-02,0001206774-26-000185,https://www.sec.gov/Archives/edgar/data/831001/000120677426000185/citi4583461-def14a.htm,sp100_dataset/C/DEF14A_2026-04-02.txt,cached
C,Citigroup,Financials,10-K,2026-02-20,0000831001-26-000011,https://www.sec.gov/Archives/edgar/data/831001/000083100126000011/c-20251231.htm,sp100_dataset/C/10-K_2026-02-20.txt,cached
CAT,Caterpillar Inc.,Industrials,8-K,2026-06-11,0001104659-26-072929,https://www.sec.gov/Archives/edgar/data/18230/000110465926072929/tm2617177d1_8k.htm,sp100_dataset/CAT/8-K_2026-06-11.txt,cached
CAT,Caterpillar Inc.,Industrials,DEF 14A,2026-04-30,0001308179-26-000358,https://www.sec.gov/Archives/edgar/data/18230/000130817926000358/cat014496-def14a.htm,sp100_dataset/CAT/DEF14A_2026-04-30.txt,cached
CAT,Caterpillar Inc.,Industrials,8-K,2026-04-30,0000018230-26-000017,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/cat-20260430.htm,sp100_dataset/CAT/8-K_2026-04-30.txt,cached
CAT,Caterpillar Inc.,Industrials,10-K,2026-02-13,0000018230-26-000008,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,sp100_dataset/CAT/10-K_2026-02-13.txt,cached
CL,Colgate-Palmolive,Consumer Staples,8-K,2026-05-13,0000021665-26-000025,https://www.sec.gov/Archives/edgar/data/21665/000002166526000025/cl-20260508.htm,sp100_dataset/CL/8-K_2026-05-13.txt,cached
CL,Colgate-Palmolive,Consumer Staples,8-K,2026-05-01,0000021665-26-000022,https://www.sec.gov/Archives/edgar/data/21665/000002166526000022/cl-20260430.htm,sp100_dataset/CL/8-K_2026-05-01.txt,cached
CL,Colgate-Palmolive,Consumer Staples,DEF 14A,2026-03-25,0001308179-26-000136,https://www.sec.gov/Archives/edgar/data/21665/000130817926000136/cl015164-def14a.htm,sp100_dataset/CL/DEF14A_2026-03-25.txt,cached
